source_slug,source_family,source_type,target_track,target_slug,target_title_ko,target_format,embedded_island,content_angle,migration_priority,status,notes
mouse,image-media-design-dev,tool-or-test,cross-link-only,,,cross-link-only,,,low,hold,
name,image-media-design-dev,tool-or-test,cross-link-only,,,cross-link-only,,,low,hold,
navigation,study-productivity,tool-or-test,magazine,,,strategy-guide,,,review,candidate,misc-reclassified
number-converter,study-productivity,tool-or-test,magazine,,,strategy-guide,,,medium,candidate,
number-sorter,study-productivity,tool-or-test,magazine,,,strategy-guide,,,medium,candidate,
nutrition,study-productivity,tool-or-test,magazine,,,strategy-guide,,,medium,candidate,
overseas-stock-saver,finance-tax,tool-or-test,interactive,,,guide-plus-calculator,,,medium,candidate,
palette-extractor,image-media-design-dev,tool-or-test,cross-link-only,,,cross-link-only,,,low,hold,
password,study-productivity,tool-or-test,magazine,,,strategy-guide,,,review,candidate,misc-reclassified
pension,finance-tax,tool-or-test,interactive,,,guide-plus-calculator,,,medium,candidate,
pension-tax-calculator,finance-tax,tool-or-test,interactive,,,guide-plus-calculator,,,medium,candidate,
percent-converter,study-productivity,tool-or-test,magazine,,,strategy-guide,,,medium,candidate,
perfectscope,psychology-self-discovery,tool-or-test,magazine,,,interpretive-guide,,,medium,candidate,
perfume-quiz,psychology-self-discovery,tool-or-test,magazine,,,interpretive-guide,,,medium,candidate,
perfume-test,psychology-self-discovery,tool-or-test,magazine,,,interpretive-guide,,,medium,candidate,
personal-color,psychology-self-discovery,tool-or-test,magazine,,,interpretive-guide,,,medium,candidate,
personapath,psychology-self-discovery,tool-or-test,magazine,,,interpretive-guide,,,medium,candidate,misc-reclassified
personascope,psychology-self-discovery,tool-or-test,magazine,,,interpretive-guide,,,medium,candidate,
pet-age,lifestyle-everyday,tool-or-test,magazine,,,guide-plus-tool,,,review,candidate,
political,psychology-self-discovery,tool-or-test,magazine,,,interpretive-guide,,,medium,candidate,misc-reclassified
political-test,psychology-self-discovery,tool-or-test,magazine,,,interpretive-guide,,,medium,candidate,
problem-solver,psychology-self-discovery,tool-or-test,magazine,,,interpretive-guide,,,medium,candidate,
procrastinot,study-productivity,tool-or-test,magazine,,,strategy-guide,,,review,candidate,misc-reclassified
productivity-style,psychology-self-discovery,tool-or-test,magazine,,,interpretive-guide,,,medium,candidate,
property-tax,finance-tax,tool-or-test,interactive,,,guide-plus-calculator,,,high,candidate,
property-tax-regional,finance-tax,tool-or-test,interactive,,,guide-plus-calculator,,,medium,candidate,
puzzle-15,games-puzzles,tool-or-test,interactive,,,interactive-article,,,medium,candidate,
q1q3,finance-tax,tool-or-test,interactive,,,guide-plus-calculator,,,medium,candidate,misc-reclassified
quiz,games-puzzles,tool-or-test,interactive,,,interactive-article,,,medium,candidate,misc-reclassified
quotes,lifestyle-everyday,tool-or-test,magazine,,,guide-plus-tool,,,review,candidate,
random-data-generator,image-media-design-dev,tool-or-test,cross-link-only,,,cross-link-only,,,low,hold,misc-reclassified
ratio,study-productivity,tool-or-test,magazine,,,strategy-guide,,,medium,candidate,
real-estate,finance-tax,tool-or-test,interactive,,,guide-plus-calculator,,,medium,candidate,
reality-quote,psychology-self-discovery,tool-or-test,magazine,,,interpretive-guide,,,medium,candidate,
rent-vs-jeonse,finance-tax,tool-or-test,interactive,,,guide-plus-calculator,,,medium,candidate,
resiboost,study-productivity,tool-or-test,magazine,,,strategy-guide,,,review,candidate,misc-reclassified
resolution,image-media-design-dev,tool-or-test,cross-link-only,,,cross-link-only,,,low,hold,
reversi,games-puzzles,tool-or-test,interactive,,,interactive-article,,,medium,candidate,
riasec,psychology-self-discovery,tool-or-test,magazine,,,interpretive-guide,,,medium,candidate,
roadmap,study-productivity,tool-or-test,magazine,,,strategy-guide,,,medium,candidate,
roi-calculator,finance-tax,tool-or-test,interactive,,,guide-plus-calculator,,,medium,candidate,
saju,study-productivity,tool-or-test,magazine,,,strategy-guide,,,review,candidate,misc-reclassified
salary-by-job,finance-tax,tool-or-test,interactive,,,guide-plus-calculator,,,medium,candidate,
salary-calculator,finance-tax,tool-or-test,interactive,,,guide-plus-calculator,,,medium,candidate,
savings,finance-tax,tool-or-test,interactive,,,guide-plus-calculator,,,medium,candidate,
savings-comparison,finance-tax,tool-or-test,interactive,,,guide-plus-calculator,,,medium,candidate,
scientific-notation,study-productivity,tool-or-test,magazine,,,strategy-guide,,,medium,candidate,
self-esteem-compass,psychology-self-discovery,tool-or-test,magazine,,,interpretive-guide,,,medium,candidate,
sequence-memory-test,games-puzzles,tool-or-test,interactive,,,interactive-article,,,medium,candidate,
server,study-productivity,tool-or-test,magazine,,,strategy-guide,,,medium,candidate,
server-checker,study-productivity,tool-or-test,magazine,,,strategy-guide,,,medium,candidate,
server-time,study-productivity,tool-or-test,magazine,,,strategy-guide,,,medium,candidate,
severance-pay,finance-tax,tool-or-test,interactive,,,guide-plus-calculator,,,medium,candidate,
simple-ledger,finance-tax,tool-or-test,interactive,,,guide-plus-calculator,,,medium,candidate,misc-reclassified
snake,games-puzzles,tool-or-test,interactive,,,interactive-article,,,medium,candidate,
social-media-personality,psychology-self-discovery,tool-or-test,magazine,,,interpretive-guide,,,medium,candidate,
social-media-test,psychology-self-discovery,tool-or-test,magazine,,,interpretive-guide,,,medium,candidate,
solitaire,games-puzzles,tool-or-test,interactive,,,interactive-article,,,medium,candidate,
soulmirror,psychology-self-discovery,tool-or-test,magazine,,,interpretive-guide,,,medium,candidate,
spending-habits-test,study-productivity,tool-or-test,magazine,,,strategy-guide,,,review,candidate,misc-reclassified
spinner,games-puzzles,tool-or-test,interactive,,,interactive-article,,,medium,candidate,
start,study-productivity,tool-or-test,magazine,,,strategy-guide,,,review,candidate,misc-reclassified
statute-limitation,legal-public-admin,tool-or-test,academy,,,lecture-or-formal-guide,,,medium,candidate,
stock-averaging,finance-tax,tool-or-test,interactive,,,guide-plus-calculator,,,medium,candidate,
strengthsage,psychology-self-discovery,tool-or-test,magazine,,,interpretive-guide,,,medium,candidate,
stress-type,psychology-self-discovery,tool-or-test,magazine,,,interpretive-guide,,,medium,candidate,
subscription-points,finance-tax,tool-or-test,interactive,,,guide-plus-calculator,,,medium,candidate,misc-reclassified
sudoku,study-productivity,tool-or-test,magazine,,,strategy-guide,,,review,candidate,misc-reclassified
svg-viewer,study-productivity,tool-or-test,magazine,,,strategy-guide,,,review,candidate,misc-reclassified
tamagotchi,study-productivity,tool-or-test,magazine,,,strategy-guide,,,review,candidate,misc-reclassified
tarot,study-productivity,tool-or-test,magazine,,,strategy-guide,,,review,candidate,misc-reclassified
tax,finance-tax,tool-or-test,interactive,,,guide-plus-calculator,,,medium,candidate,
tax-calculators,finance-tax,tool-or-test,interactive,,,guide-plus-calculator,,,medium,candidate,
tax-calendar,finance-tax,tool-or-test,interactive,,,guide-plus-calculator,,,medium,candidate,
tax-hub,finance-tax,tool-or-test,interactive,,,guide-plus-calculator,,,medium,candidate,
tax-season,finance-tax,tool-or-test,interactive,,,guide-plus-calculator,,,medium,candidate,
tci,study-productivity,tool-or-test,magazine,,,strategy-guide,,,review,candidate,misc-reclassified
tent-tree-puzzle,study-productivity,tool-or-test,magazine,,,strategy-guide,,,review,candidate,misc-reclassified
test-data,study-productivity,tool-or-test,magazine,,,strategy-guide,,,review,candidate,misc-reclassified
tests,study-productivity,tool-or-test,magazine,,,strategy-guide,,,review,candidate,misc-reclassified
tetris,study-productivity,tool-or-test,magazine,,,strategy-guide,,,review,candidate,misc-reclassified
thinking-patterns,study-productivity,tool-or-test,magazine,,,strategy-guide,,,review,candidate,misc-reclassified
tier,study-productivity,tool-or-test,magazine,,,strategy-guide,,,review,candidate,misc-reclassified
timer,study-productivity,tool-or-test,magazine,,,strategy-guide,,,review,candidate,misc-reclassified
timezone-visualizer,study-productivity,tool-or-test,magazine,,,strategy-guide,,,review,candidate,misc-reclassified
tip,study-productivity,tool-or-test,magazine,,,strategy-guide,,,review,candidate,misc-reclassified
toml-to-json,image-media-design-dev,tool-or-test,cross-link-only,,,cross-link-only,,,low,hold,
tone-analysis,study-productivity,tool-or-test,magazine,,,strategy-guide,,,review,candidate,misc-reclassified
tools,study-productivity,tool-or-test,magazine,,,strategy-guide,,,review,candidate,misc-reclassified
trip,study-productivity,tool-or-test,magazine,,,strategy-guide,,,review,candidate,misc-reclassified
typing-test,study-productivity,tool-or-test,magazine,,,strategy-guide,,,review,candidate,misc-reclassified
universal-converter,image-media-design-dev,tool-or-test,cross-link-only,,,cross-link-only,,,low,hold,
url-parser,study-productivity,tool-or-test,magazine,,,strategy-guide,,,review,candidate,misc-reclassified
utilities,study-productivity,tool-or-test,magazine,,,strategy-guide,,,review,candidate,misc-reclassified
uuidgenerator,image-media-design-dev,tool-or-test,cross-link-only,,,cross-link-only,,,low,hold,misc-reclassified
value-compass,study-productivity,tool-or-test,magazine,,,strategy-guide,,,review,candidate,misc-reclassified
vat,study-productivity,tool-or-test,magazine,,,strategy-guide,,,review,candidate,misc-reclassified
viral,study-productivity,tool-or-test,magazine,,,strategy-guide,,,review,candidate,misc-reclassified
vocab,study-productivity,tool-or-test,magazine,,,strategy-guide,,,review,candidate,misc-reclassified
wage,study-productivity,tool-or-test,magazine,,,strategy-guide,,,review,candidate,misc-reclassified
water-sort,study-productivity,tool-or-test,magazine,,,strategy-guide,,,review,candidate,misc-reclassified
word-counter,study-productivity,tool-or-test,magazine,,,strategy-guide,,,review,candidate,misc-reclassified
wordle,study-productivity,tool-or-test,magazine,,,strategy-guide,,,review,candidate,misc-reclassified
worldclock,study-productivity,tool-or-test,magazine,,,strategy-guide,,,review,candidate,misc-reclassified
xml-parser,study-productivity,tool-or-test,magazine,,,strategy-guide,,,review,candidate,misc-reclassified
yaml-parser,study-productivity,tool-or-test,magazine,,,strategy-guide,,,review,candidate,misc-reclassified
yaml-to-json,image-media-design-dev,tool-or-test,cross-link-only,,,cross-link-only,,,low,hold,
year,study-productivity,tool-or-test,magazine,,,strategy-guide,,,review,candidate,misc-reclassified
yhatzee,study-productivity,tool-or-test,magazine,,,strategy-guide,,,review,candidate,misc-reclassified
